id	x	y
146	822	1054
147	602	920
148	626	941
149	625	970
150	629	904
151	635	917
152	649	923
153	651	914
154	651	906
155	669	903
156	646	891
157	656	886
158	665	875
159	667	870
160	664	863
161	658	853
162	645	856
163	537	844
164	554	846
165	582	853
166	584	838
167	587	820
168	612	828
169	609	843
170	607	858
171	596	860
172	571	880
173	620	837
174	764	1041
175	685	874
176	694	891
177	702	871
178	710	879
179	731	862
180	749	860
181	723	897
182	719	904
183	718	911
184	716	916
185	712	928
186	710	933
187	736	900
188	737	906
189	731	916
190	731	923
191	732	934
192	725	939
193	751	903
194	747	910
195	744	923
196	743	927
197	739	938
198	737	942
199	734	955
200	760	895
201	757	900
202	757	905
203	753	914
204	750	921
205	748	938
206	797	880
207	806	890
208	802	894
209	799	904
210	788	915
211	805	911
212	812	912
213	810	929
214	816	919
215	823	917
216	823	909
217	830	905
218	819	900
219	813	899
220	831	890
221	839	890
222	847	880
223	833	870
224	829	858
225	809	859
226	781	978
227	778	973
228	789	957
229	796	936
230	816	940
231	808	962
232	809	977
233	803	982
234	801	993
235	822	987
236	828	974
237	828	966
238	839	982
239	831	928
240	845	916
241	856	904
242	860	911
243	847	927
244	835	941
245	868	912
246	855	926
247	841	940
248	861	935
249	884	932
250	875	948
251	862	962
252	867	964
253	857	955
254	847	958
255	849	959
256	893	936
257	902	940
258	895	913
259	904	901
260	879	877
261	888	864
262	920	974
263	931	963
264	941	950
265	938	945
266	960	966
267	936	909
268	935	870
269	931	847
270	958	844
271	907	860
272	891	834
273	880	850
274	865	851
275	870	842
276	871	836
277	857	829
278	854	833
279	801	843
280	819	816
281	827	815
282	829	801
283	990	891
284	1000	880
285	984	927
286	992	948
287	1004	938
288	1008	941
289	998	978
290	1020	936
291	1043	930
292	1058	926
293	1073	920
294	1077	918
295	1033	905
296	1046	899
297	1046	892
298	1053	907
299	1051	912
300	1062	892
301	1062	889
302	1080	891
303	1083	896
304	1085	881
305	1095	885
306	1112	878
307	1119	901
308	1099	856
309	1059	865
310	1074	852
311	1087	840
312	1076	828
313	1060	840
314	1075	840
315	1064	813
316	1036	836
317	1110	814
318	1097	798
319	1079	813
320	1092	828
321	1090	821
322	1094	807
323	1088	800
324	1077	797
325	1167	838
326	1172	842
327	1161	844
328	1182	839
329	1186	845
330	1154	874
331	1150	809
332	1146	798
333	1165	928
334	1169	919
335	1192	1036
336	1212	1056
337	1232	891
338	1242	882
339	1251	871
340	1252	908
341	1261	898
342	1270	887
343	1211	808
344	1244	863
345	1264	861
346	1285	843
347	1282	857
348	1281	871
349	1303	846
350	1302	861
351	1298	870
352	1300	873
353	1285	951
354	1286	970
355	1288	987
356	1300	986
357	1298	971
358	1300	967
359	1298	950
360	1303	952
361	1313	949
362	1312	958
363	1315	965
364	1319	975
365	1316	983
366	1333	977
367	1331	990
368	1317	1000
369	1322	1020
370	1336	998
371	1339	1018
372	1349	1005
373	1348	1016
374	1333	1017
375	1290	1004
376	1291	1031
377	1282	1099
378	1285	927
379	1297	929
380	1301	932
381	1288	913
382	1296	909
383	1310	899
384	1316	896
385	1321	898
386	1326	898
387	1327	907
388	1326	913
389	1325	919
390	1325	927
391	1331	931
392	1320	930
393	1316	929
394	1311	925
395	1315	919
396	1315	913
397	1288	822
398	1294	797
399	1315	803
400	1328	821
401	1326	839
402	1335	835
403	1322	850
404	1325	858
405	1321	861
406	1320	873
407	1326	879
408	1332	879
409	1331	889
410	1343	895
411	1346	888
412	1341	884
413	1345	880
414	1352	885
415	1340	873
416	1343	872
417	1353	867
418	1357	874
419	1361	877
420	1359	853
421	1353	851
422	1344	859
423	1340	853
424	1337	848
425	1345	838
426	1342	831
427	1334	821
428	1333	807
429	1358	842
430	1361	838
431	1357	835
432	1360	831
433	1359	825
434	1354	820
435	1359	818
436	1353	808
437	1362	809
438	1383	814
439	1379	817
440	1380	835
441	1389	840
442	1398	833
443	1400	824
444	1382	852
445	1385	857
446	1380	866
447	1380	886
448	1379	903
449	1353	902
450	1351	921
451	1357	929
452	1395	940
453	1400	944
454	1395	984
455	1402	991
456	1417	974
457	1393	910
458	1395	901
459	1393	881
460	1410	879
461	1418	894
462	1422	872
463	1430	862
464	1437	854
465	1442	852
466	1445	838
467	1454	826
468	1465	817
469	1442	814
470	1446	814
471	1426	813
472	1432	812
473	1287	1179
474	1301	1171
475	1305	1175
476	1299	1183
477	1310	1155
478	1331	1151
479	1397	1123
480	1402	1138
481	1435	1175
482	1436	1178
483	1460	1164
484	1455	1168
485	1452	1149
486	1447	1136
487	1456	1180
488	1465	1182
489	1469	1179
490	1471	1189
491	1473	1193
492	1446	1098
493	1452	1110
494	1437	1115
495	1433	1101
496	1426	1103
497	1430	1085
498	1428	1067
499	1421	1075
500	1404	1075
501	1398	1074
502	1393	1073
503	1375	1076
504	1373	1092
505	1383	1092
506	1390	1056
507	1384	1052
508	1502	1162
509	1515	1149
510	1528	1135
511	1488	1148
512	1497	1149
513	1500	1133
514	1512	1119
515	1497	1109
516	1481	1114
517	1515	1167
518	1528	1160
519	1530	1154
520	1537	1126
521	1553	1122
522	1549	1130
523	1533	1121
524	1553	1110
525	1529	1109
526	1543	1102
527	1554	1096
528	1544	1093
529	1525	1104
530	1507	1091
531	1574	1128
532	1560	1123
533	1564	1114
534	1307	1059
535	1312	1048
536	1344	1051
537	1373	1026
538	1381	1037
539	1403	1028
540	1419	1020
541	1426	1027
542	1309	1214
543	1375	1225
544	1394	1229
545	1411	1222
546	1416	1220
547	1425	1218
548	1439	1212
549	1446	1210
550	1452	1028
551	1462	1023
552	1457	1012
553	1470	1013
554	1477	1013
555	1479	1024
556	1483	1020
557	1485	1011
558	1502	1001
559	1503	1010
560	1518	1004
561	1516	1035
562	1513	1025
563	1496	1034
564	1497	1043
565	1554	1037
566	1547	1020
567	1548	1013
568	1556	1020
569	1450	983
570	1451	974
571	1470	975
572	1489	974
573	1500	978
574	1540	986
575	1464	950
576	1463	937
577	1442	933
578	1464	918
579	1479	924
580	1495	920
581	1503	918
582	1486	898
583	1496	882
584	1474	878
585	1462	874
586	1516	869
587	1510	859
588	1512	851
589	1529	855
590	1539	853
591	1544	856
592	1562	881
593	1578	881
594	1586	880
595	1564	856
596	1566	853
597	1536	845
598	1540	836
599	1548	830
600	1553	827
601	1562	833
602	1556	846
603	1553	845
604	1273	785
605	1271	776
606	1272	765
607	1275	745
608	1291	747
609	1289	762
610	1289	778
611	1288	785
612	1306	785
613	1307	779
614	1335	782
615	1340	777
616	1343	785
617	1353	776
618	1356	780
619	1370	784
620	1377	780
621	1369	767
622	1356	765
623	1342	766
624	1336	764
625	1342	757
626	1346	757
627	1354	752
628	1367	754
629	1371	748
630	1329	738
631	1331	727
632	1355	736
633	1357	727
634	1359	718
635	1365	733
636	1374	727
637	1383	726
638	1397	752
639	1402	755
640	1405	744
641	1401	743
642	1428	749
643	1429	740
644	1503	807
645	1470	806
646	1440	805
647	1428	792
648	1511	788
649	1488	785
650	1458	772
651	1470	766
652	1481	765
653	1480	763
654	1481	757
655	1479	746
656	1441	761
657	1458	762
658	1473	760
659	1472	746
660	1473	742
661	1457	744
662	1440	744
663	1460	738
664	1472	727
665	1455	728
666	1512	746
667	1503	740
668	1489	724
669	1478	715
670	1465	718
671	1469	704
672	1474	690
673	1498	696
674	1494	711
675	1428	699
676	1445	700
677	1452	693
678	1437	694
679	1429	683
680	1447	684
681	1434	677
682	1452	676
683	1526	691
684	1520	687
685	1218	768
686	1208	772
687	1203	769
688	1198	755
689	1202	754
690	1197	733
691	1194	742
692	1208	734
693	1183	746
694	1175	749
695	1179	756
696	1185	758
697	1181	761
698	1186	775
699	1193	778
700	1174	783
701	1168	781
702	1162	768
703	1166	763
704	1158	752
705	1142	744
706	1143	751
707	1142	757
708	1137	766
709	1150	787
710	1137	795
711	1133	796
712	1111	784
713	1107	779
714	1226	716
715	1232	722
716	1244	713
717	1246	704
718	1266	709
719	1259	723
720	1260	727
721	1266	694
722	1261	682
723	1275	677
724	1299	691
725	1306	673
726	1298	675
727	1291	675
728	1320	664
729	1333	646
730	1366	680
731	1391	681
732	1396	654
733	1371	652
734	968	843
735	980	835
736	997	820
737	981	775
738	983	779
739	997	792
740	1001	797
741	996	804
742	993	806
743	983	805
744	976	805
745	974	793
746	954	807
747	964	808
748	968	820
749	957	820
750	952	825
751	1021	807
752	1027	797
753	1053	785
754	1055	774
755	1047	767
756	1035	774
757	1021	781
758	1018	764
759	1028	762
760	1008	755
761	1021	748
762	1033	747
763	941	719
764	945	707
765	953	706
766	954	707
767	953	719
768	962	730
769	960	734
770	957	743
771	959	748
772	968	737
773	974	736
774	981	740
775	983	731
776	991	726
777	976	722
778	973	710
779	988	713
780	988	704
781	963	694
782	909	793
783	904	785
784	887	793
785	878	787
786	873	775
787	888	772
788	875	758
789	864	756
790	860	750
791	827	767
792	806	781
793	926	762
794	916	754
795	912	761
796	908	757
797	897	755
798	894	748
799	897	743
800	905	744
801	910	746
802	916	736
803	903	708
804	876	722
805	863	721
806	856	729
807	863	729
808	860	698
809	872	688
810	885	681
811	839	684
812	837	711
813	834	701
814	828	698
815	822	689
816	809	683
817	795	701
818	802	706
819	807	704
820	786	711
821	805	734
822	815	733
823	764	730
824	772	742
825	768	757
826	757	764
827	763	775
828	737	771
829	724	766
830	733	751
831	740	738
832	711	734
833	700	745
834	699	757
835	697	722
836	691	706
837	704	709
838	718	713
839	611	699
840	622	710
841	574	685
842	579	709
843	579	714
844	563	714
845	602	765
846	665	782
847	666	792
848	686	800
849	684	815
850	659	811
851	660	828
852	657	831
853	657	837
854	643	833
855	565	747
856	548	750
857	543	733
858	528	725
859	482	734
860	484	742
861	544	779
862	545	804
863	522	800
864	375	791
865	400	794
866	399	807
867	398	815
868	397	822
869	413	834
870	417	809
871	330	817
872	315	819
873	301	818
874	290	820
875	257	815
876	240	840
877	230	838
878	234	828
879	231	814
880	235	812
881	232	806
882	391	706
883	353	710
884	310	721
885	288	722
886	316	682
887	307	669
888	1419	655
889	1421	661
890	1437	662
891	1438	666
892	1453	662
893	1456	647
894	1456	644
895	1440	644
896	1436	650
897	1423	644
898	1419	637
899	1425	629
900	1426	625
901	1422	622
902	1443	629
903	1442	627
904	1458	631
905	1458	627
906	1462	626
907	1472	684
908	1472	664
909	1527	679
910	1530	670
911	1536	665
912	1542	666
913	1545	660
914	1538	655
915	1550	672
916	1558	672
917	1490	674
918	1497	677
919	1498	685
920	1504	680
921	1504	676
922	1499	664
923	1503	664
924	1507	664
925	1515	661
926	1511	655
927	1500	653
928	1485	649
929	1509	635
930	1507	647
931	1511	646
932	1512	647
933	1513	648
934	1516	648
935	1530	653
936	1519	641
937	1536	638
938	1534	640
939	812	647
940	826	647
941	809	625
942	824	624
943	834	630
944	867	642
945	877	653
946	885	665
947	909	667
948	922	656
949	934	645
950	898	654
951	889	652
952	887	642
953	912	642
954	915	640
955	1645	1046
956	1658	1069
957	1647	1075
958	1634	1083
959	1642	1085
960	1628	1086
961	1614	1088
962	1610	1106
963	1638	1052
964	1634	1051
965	1628	1053
966	1622	1056
967	1612	1055
968	1620	1068
969	1601	1049
970	1594	1060
971	1581	1050
972	1592	1032
973	1619	1029
974	1565	1062
975	1555	1070
976	1657	1031
977	1671	1023
978	1674	1014
979	1685	1032
980	1698	1032
981	1689	1054
982	1664	1006
983	1655	999
984	1651	995
985	1640	988
986	1595	1000
987	1594	994
988	1610	990
989	1590	974
990	1605	979
991	1606	964
992	1608	950
993	1600	949
994	1630	981
995	1629	977
996	1637	975
997	1644	981
998	1647	966
999	1642	960
1000	1649	973
1001	1642	953
1002	1637	953
1003	1637	936
1004	1653	943
1005	1659	968
1006	1658	960
1007	1671	967
1008	1667	984
1009	1676	987
1010	1677	981
1011	1672	957
1012	1685	954
1013	1687	963
1014	1693	964
1015	1705	958
1016	1724	956
1017	1733	953
1018	1731	967
1019	1733	971
1020	1745	984
1021	1738	984
1022	1730	983
1023	1721	982
1024	1701	1002
1025	1614	970
1026	1614	944
1027	1593	926
1028	1607	919
1029	1608	914
1030	1615	906
1031	1623	901
1032	1624	893
1033	1622	924
1034	1621	919
1035	1712	944
1036	1726	941
1037	1736	932
1038	1735	927
1039	1664	919
1040	1677	913
1041	1653	929
1042	1659	927
1043	1670	927
1044	1675	923
1045	1646	919
1046	1643	919
1047	1640	916
1048	1640	914
1049	1646	909
1050	1642	903
1051	1642	903
1052	1647	904
1053	1652	904
1054	1689	898
1055	1700	883
1056	1707	878
1057	1709	870
1058	1726	879
1059	1741	888
1060	1753	900
1061	1770	911
1062	1747	908
1063	1753	934
1064	1744	944
1065	1770	940
1066	1760	954
1067	1753	963
1068	1675	878
1069	1660	863
1070	1717	857
1071	1721	855
1072	1690	848
1073	1654	838
1074	1633	845
1075	1622	844
1076	1629	859
1077	1632	875
1078	1612	884
1079	1607	866
1080	1597	853
1081	1605	849
1082	1563	962
1083	1548	927
1084	1553	766
1085	1558	798
1086	1585	814
1087	1587	814
1088	1620	801
1089	1631	810
1090	1593	762
1091	1609	762
1092	1609	775
1093	1572	732
1094	1635	725
1095	1652	724
1096	1669	724
1097	1670	743
1098	1653	744
1099	1636	744
1100	1638	762
1101	1654	762
1102	1672	760
1103	1653	777
1104	1670	790
1105	1678	791
1106	1687	796
1107	1689	790
1108	1695	778
1109	1681	775
1110	1699	768
1111	1715	767
1112	1734	767
1113	1736	772
1114	1733	787
1115	1729	801
1116	1711	808
1117	1696	815
1118	1711	830
1119	1638	704
1120	1649	695
1121	1666	696
1122	1680	701
1123	1696	700
1124	1719	701
1125	1723	681
1126	1701	677
1127	1732	680
1128	1682	670
1129	1675	664
1130	1650	670
1131	1647	678
1132	1696	656
1133	1703	656
1134	1715	652
1135	1713	665
1136	1701	649
1137	1713	647
1138	1759	702
1139	1757	688
1140	1759	675
1141	1762	662
1142	1745	663
1143	1770	660
1144	1742	824
1145	1744	808
1146	1752	802
1147	1744	790
1148	1747	781
1149	1762	822
1150	1784	825
1151	1784	821
1152	1786	810
1153	1762	812
1154	1791	806
1155	1802	807
1156	1815	814
1157	1833	812
1158	1811	793
1159	1818	787
1160	1841	784
1161	1805	789
1162	1792	785
1163	1789	787
1164	1787	790
1165	1781	786
1166	1779	784
1167	1775	776
1168	1772	776
1169	1765	772
1170	1764	765
1171	1752	760
1172	1735	750
1173	1778	770
1174	1785	759
1175	1798	759
1176	1795	754
1177	1794	749
1178	1816	747
1179	1831	835
1180	1829	843
1181	1812	862
1182	1814	890
1183	1774	800
1184	1760	791
1185	1799	922
1186	1813	933
1187	1816	950
1188	1748	735
1189	1739	739
1190	1776	729
1191	1783	732
1192	1783	738
1193	1772	748
1194	1772	743
1195	1766	739
1196	1761	741
1197	1762	733
1198	1800	721
1199	1815	719
1200	1815	717
1201	1800	707
1202	1841	714
1203	1783	667
1204	1782	679
1205	1781	692
1206	1807	656
1207	1809	659
1208	1816	655
1209	1821	679
1210	1825	688
1211	1855	667
1212	1794	583
1213	1790	572
1214	1811	571
1215	1790	556
1216	1787	548
1217	1747	600
1218	1734	603
1219	1723	592
1220	1726	587
1221	1724	570
1222	1708	582
1223	1693	579
1224	1699	572
1225	1693	564
1226	1724	618
1227	1730	618
1228	1727	632
1229	1730	637
1230	1714	622
1231	1713	628
1232	1711	633
1233	1707	632
1234	1698	625
1235	1696	623
1236	1695	617
1237	1631	623
1238	1638	629
1239	1636	638
1240	1647	634
1241	1650	636
1242	1658	581
1243	1649	581
1244	1647	580
1245	1633	594
1246	1637	598
1247	1649	550
1248	1667	546
1249	1657	538
1250	1648	532
1251	1620	539
1252	1615	515
1253	1629	513
1254	1647	508
1255	1688	514
1256	1695	536
1257	1721	520
1258	1740	516
1259	1757	510
1260	1771	505
1261	1778	502
1262	1786	505
1263	1799	503
1264	1821	505
1265	1748	450
1266	1750	476
1267	1750	491
1268	1724	477
1269	1733	498
1270	1709	482
1271	1686	495
1272	1740	404
1273	1745	406
1274	1735	417
1275	1731	412
1276	1723	402
1277	1727	404
1278	1723	412
1279	1713	405
1280	1687	409
1281	1707	389
1282	1720	382
1283	1736	370
1284	1719	369
1285	1727	365
1286	1724	359
1287	1718	350
1288	1734	351
1289	1736	331
1290	1720	331
1291	1688	335
1292	1675	335
1293	1668	327
1294	1651	319
1295	1692	317
1296	1674	309
1297	1889	442
1298	1894	434
1299	1904	431
1300	1913	434
1301	1920	441
1302	1916	468
1303	1922	485
1304	1903	396
1305	1679	291
1306	1609	260
1307	1608	287
1308	1597	278
1309	1584	269
1310	1595	259
1311	1585	286
1312	1539	580
1313	1550	597
1314	1555	604
1315	1558	607
1316	1557	609
1317	1583	620
1318	1598	601
1319	1591	594
1320	1571	572
1321	1550	567
1322	1542	625
1323	1537	621
1324	1538	613
1325	1539	607
1326	1536	607
1327	1539	532
1328	1545	534
1329	1549	544
1330	1570	537
1331	1534	551
1332	1531	555
1333	1516	561
1334	1501	533
1335	1497	539
1336	1489	545
1337	1480	552
1338	1480	553
1339	1417	607
1340	1421	606
1341	1422	604
1342	1425	597
1343	1429	595
1344	1424	591
1345	1424	579
1346	1434	578
1347	1441	578
1348	1443	583
1349	1449	581
1350	1460	583
1351	1470	583
1352	1462	566
1353	1491	575
1354	1489	583
1355	1502	591
1356	1516	605
1357	1478	598
1358	1491	614
1359	1460	608
1360	1442	604
1361	1445	599
1362	1440	589
1363	1390	578
1364	1385	583
1365	1367	573
1366	1363	581
1367	1363	591
1368	1375	594
1369	1386	596
1370	1379	600
1371	1380	603
1372	1389	611
1373	1372	605
1374	1360	599
1375	1354	595
1376	1336	586
1377	1318	577
1378	1312	579
1379	1323	562
1380	1339	566
1381	1344	575
1382	1307	589
1383	1312	601
1384	1324	598
1385	1334	612
1386	1314	627
1387	1354	638
1388	1486	533
1389	1488	515
1390	1548	386
1391	1556	386
1392	1544	401
1393	1559	397
1394	1573	401
1395	1575	411
1396	1571	415
1397	1565	422
1398	1568	423
1399	1578	426
1400	1592	424
1401	1587	421
1402	1583	417
1403	1586	407
1404	1604	411
1405	1608	418
1406	1613	411
1407	1621	405
1408	1618	398
1409	1609	397
1410	1629	390
1411	1632	395
1412	1639	392
1413	1639	396
1414	1641	399
1415	1653	397
1416	1644	412
1417	1640	409
1418	1632	414
1419	1651	431
1420	1648	442
1421	1604	434
1422	1611	436
1423	1617	439
1424	1589	438
1425	1599	439
1426	1606	447
1427	1611	454
1428	1645	468
1429	1628	460
1430	1621	464
1431	1625	466
1432	1619	492
1433	1605	477
1434	1591	460
1435	1582	461
1436	1552	439
1437	1530	430
1438	1519	427
1439	1518	441
1440	1509	445
1441	1510	446
1442	1518	453
1443	1513	457
1444	1511	464
1445	1495	462
1446	1575	483
1447	1490	416
1448	1472	401
1449	1472	419
1450	1435	416
1451	1436	424
1452	1445	429
1453	1453	441
1454	1418	446
1455	1413	464
1456	1462	460
1457	1469	480
1458	1485	483
1459	1482	493
1460	1398	488
1461	1392	489
1462	1388	489
1463	1386	488
1464	1386	500
1465	1391	497
1466	1397	502
1467	1404	496
1468	1381	506
1469	1387	507
1470	1391	513
1471	1393	519
1472	1381	523
1473	1374	524
1474	1374	524
1475	1371	515
1476	1365	518
1477	1347	516
1478	1337	510
1479	1353	502
1480	1354	502
1481	1353	498
1482	1344	493
1483	1362	482
1484	1368	485
1485	1368	490
1486	1375	485
1487	1308	460
1488	1285	459
1489	1290	472
1490	1288	477
1491	1287	480
1492	1288	488
1493	1286	492
1494	1295	496
1495	1303	489
1496	1309	492
1497	1304	493
1498	1304	500
1499	1307	507
1500	1318	502
1501	1325	498
1502	1329	494
1503	1333	499
1504	1318	492
1505	1277	507
1506	1286	502
1507	1291	506
1508	1269	462
1509	1271	472
1510	1273	479
1511	1271	487
1512	1273	492
1513	1278	498
1514	1259	513
1515	1247	498
1516	1250	490
1517	1243	477
1518	1239	479
1519	1218	476
1520	1223	481
1521	1224	487
1522	1222	489
1523	1232	502
1524	1229	503
1525	1210	508
1526	1207	498
1527	1214	487
1528	1200	486
1529	1196	483
1530	1293	546
1531	1280	536
1532	1244	545
1533	1240	565
1534	1237	566
1535	1217	563
1536	1198	554
1537	1202	545
1538	1201	534
1539	1248	575
1540	1178	551
1541	1161	554
1542	1172	569
1543	1165	459
1544	1211	450
1545	1219	458
1546	1235	456
1547	1234	446
1548	1240	441
1549	1246	445
1550	1253	448
1551	1223	426
1552	1243	429
1553	1255	436
1554	1260	434
1555	1260	430
1556	1278	442
1557	1275	436
1558	1255	421
1559	1290	422
1560	1291	425
1561	1317	424
1562	1321	422
1563	1305	414
1564	1302	409
1565	1315	408
1566	1318	404
1567	1314	399
1568	1287	395
1569	1275	401
1570	1272	402
1571	1283	408
1572	1254	410
1573	1298	380
1574	1294	377
1575	1299	366
1576	1298	361
1577	1308	361
1578	1310	364
1579	1319	360
1580	1325	358
1581	1331	364
1582	1328	372
1583	1329	380
1584	1338	386
1585	1353	373
1586	1344	361
1587	1337	348
1588	1325	351
1589	1319	345
1590	1387	341
1591	1388	362
1592	1371	362
1593	1365	356
1594	1367	350
1595	1366	346
1596	1361	349
1597	1364	336
1598	1355	335
1599	1354	336
1600	1393	322
1601	1400	318
1602	1420	329
1603	1439	328
1604	1439	353
1605	1417	350
1606	1429	368
1607	1414	368
1608	1483	374
1609	1499	372
1610	1535	355
1611	1541	352
1612	1541	284
1613	1533	283
1614	1517	279
1615	1524	261
1616	1575	364
1617	1593	363
1618	1592	338
1619	1600	373
1620	1605	368
1621	1628	374
1622	1640	376
1623	1593	329
1624	1595	333
1625	1613	334
1626	1626	336
1627	1617	343
1628	1622	323
1629	1614	325
1630	1606	322
1631	1608	320
1632	1606	316
1633	1610	317
1634	1602	313
1635	1597	310
